TAXID	NAME	COUNT_ORTHOLOGS
taxid:10181	Heterocephalus glaber	16113
taxid:105255	Dipodomys spectabilis	16112
taxid:72004	Bos mutus	16099
taxid:59472	Pipistrellus kuhlii	16094
taxid:9365	Erinaceus europaeus	16078
taxid:9689	Panthera leo	16066
taxid:109678	Phodopus roborovskii	16057
taxid:9590	Symphalangus syndactylus	16053
taxid:1706337	Neophocaena asiaeorientalis asiaeorientalis	16033
taxid:10020	Dipodomys ordii	16005
taxid:89248	Equus quagga	16001
taxid:214514	Perognathus longimembris pacificus	16001
taxid:9755	Physeter catodon	16000
taxid:9785	Loxodonta africana	15998
taxid:186990	Hipposideros armiger	15977
taxid:10041	Peromyscus leucopus	15971
taxid:42254	Sorex araneus	15970
taxid:9361	Dasypus novemcinctus	15965
taxid:10160	Octodon degus	15962
taxid:291302	Miniopterus natalensis	15961
taxid:43346	Bison bison bison	15955
taxid:132908	Pteropus vampyrus	15908
taxid:62283	Sorex fumeus	15905
taxid:130825	Ochotona curzoniae	15900
taxid:10141	Cavia porcellus	15880
taxid:447135	Myodes glareolus	15878
taxid:9974	Manis javanica	15875
taxid:9874	Odocoileus virginianus	15850
taxid:9798	Equus przewalskii	15827
taxid:885580	Fukomys damarensis	15826
taxid:10117	Rattus rattus	15818
taxid:482537	Galeopterus variegatus	15798
taxid:9986	Oryctolagus cuniculus	15775
taxid:1230840	Orycteropus afer afer	15764
taxid:9371	Echinops telfairi	15751
taxid:192404	Sturnira hondurensis	15683
taxid:109478	Myotis brandtii	15631
taxid:118797	Lipotes vexillifer	15595
taxid:10029	Cricetulus griseus	15590
taxid:109475	Suncus etruscus	15532
taxid:225400	Myotis davidii	15494
taxid:143302	Condylura cristata	15483
taxid:33562	Dromiciops gliroides	15460
taxid:38626	Phascolarctos cinereus	15416
taxid:9696	Puma concolor	15320
taxid:38775	Antechinus flavipes	15284
taxid:9915	Bos indicus	15281
taxid:9305	Sarcophilus harrisii	15280
taxid:9337	Trichosurus vulpecula	15244
taxid:13616	Monodelphis domestica	15223
taxid:9713	Leptonychotes weddellii	15202
taxid:1868482	Carlito syrichta	15197
taxid:51338	Castor canadensis	15070
taxid:185453	Chrysochloris asiatica	15013
taxid:34884	Callorhinus ursinus	14939
taxid:191870	Gracilinanus agilis	14925
taxid:59463	Myotis lucifugus	14864
taxid:111838	Microtus oregoni	14792
taxid:9258	Ornithorhynchus anatinus	14776
taxid:9261	Tachyglossus aculeatus	14637
taxid:286002	Gopherus flavomarginatus	14636
taxid:2991368	Malaclemys terrapin pileata	14603
taxid:260615	Mauremys reevesii	14588
taxid:8469	Chelonia mydas	14555
taxid:8467	Caretta caretta	14538
taxid:27794	Dermochelys coriacea	14504
taxid:74926	Mauremys mutica	14472
taxid:65483	Podarcis raffonei	14462
taxid:8479	Chrysemys picta	14443
taxid:8496	Alligator mississippiensis	14421
taxid:884348	Hemicordylus capensis	14417
taxid:1825980	Gopherus evgoodei	14401
taxid:8524	Zootoca vivipara	14381
taxid:481883	Eublepharis macularius	14334
taxid:29139	Vombatus ursinus	14273
taxid:80427	Lacerta agilis	14255
taxid:460621	Euleptes europaea	14148
taxid:28737	Elephantulus edwardii	14138
taxid:13085	Heteronotia binoei	14101
taxid:106734	Chelonoidis abingdonii	14100
taxid:2962859	Anolis sagrei ordinatus	14072
taxid:61221	Varanus komodoensis	14039
taxid:103695	Pogona vitticeps	14023
taxid:64176	Podarcis muralis	13936
taxid:8520	Sceloporus undulatus	13852
taxid:88082	Crotalus tigris	13849
taxid:260995	Geotrypetes seraphini	13815
taxid:31138	Trachemys scripta elegans	13808
taxid:38654	Alligator sinensis	13799
taxid:9117	Grus americana	13760
taxid:933632	Sphaerodactylus townsendi	13756
taxid:194408	Rhinatrema bivittatum	13720
taxid:94885	Pantherophis guttatus	13693
taxid:499056	Ahaetulla prasina	13670
taxid:8957	Accipiter gentilis	13670
taxid:233779	Spea bombifrons	13531
taxid:8364	Xenopus tropicalis	13516
taxid:202280	Harpia harpyja	13509
taxid:55661	Cuculus canorus	13504
taxid:1415580	Microcaecilia unicolor	13486
taxid:223781	Aquila chrysaetos chrysaetos	13446
taxid:8673	Pseudonaja textilis	13437
taxid:9031	Gallus gallus	13397
taxid:13146	Melopsittacus undulatus	13387
taxid:2857398	Ammospiza caudacuta	13373
taxid:181119	Pseudopodoces humilis	13360
taxid:81927	Vidua chalybeata	13346
taxid:59729	Taeniopygia guttata	13330
taxid:37040	Gavia stellata	13301
taxid:35005	Thamnophis elegans	13291
taxid:478635	Myiozetetes cayanensis	13285
taxid:2489341	Strigops habroptila	13281
taxid:146911	Gekko japonicus	13270
taxid:30427	Haemorhous mexicanus	13263
taxid:8384	Bufo bufo	13258
taxid:120794	Falco rusticolus	13254
taxid:52644	Haliaeetus leucocephalus	13246
taxid:75485	Rissa tridactyla	13245
taxid:345164	Falco cherrug	13226
taxid:327740	Hyla sarda	13214
taxid:87175	Camarhynchus parvulus	13197
taxid:8869	Cygnus olor	13197
taxid:35540	Pezoporus wallicus	13196
taxid:148594	Falco naumanni	13183
taxid:8868	Cygnus atratus	13182
taxid:8954	Falco peregrinus	13181
taxid:8345	Bombina bombina	13160
taxid:134902	Corvus hawaiiensis	13154
taxid:8663	Notechis scutatus	13137
taxid:1196302	Corvus moneduloides	13134
taxid:9054	Phasianus colchicus	13124
taxid:91951	Catharus ustulatus	13120
taxid:28377	Anolis carolinensis	13118
taxid:308060	Apteryx rowi	13116
taxid:93934	Coturnix japonica	13105
taxid:415023	Manacus candei	13101
taxid:8407	Rana temporaria	13099
taxid:187451	Vidua macroura	13096
taxid:39638	Agelaius phoeniceus	13093
taxid:56313	Tyto alba	13066
taxid:219594	Aythya fuligula	13047
taxid:9160	Passer montanus	13044
taxid:345155	Falco biarmicus	13041
taxid:2939378	Oenanthe melanoleuca	13038
taxid:8845	Anser cygnoides	13022
taxid:8996	Numida meleagris	13021
taxid:13735	Pelodiscus sinensis	13014
taxid:84834	Molothrus ater	13011
taxid:356909	Onychostruthus taczanowskii	13008
taxid:40204	Melozone crissalis	12959
taxid:9172	Sturnus vulgaris	12958
taxid:221976	Pyrgilauda ruficollis	12948
taxid:296741	Chiroxiphia lanceolata	12935
taxid:8790	Dromaius novaehollandiae	12931
taxid:64668	Lagopus muta	12924
taxid:109042	Tympanuchus pallidicinctus	12917
taxid:8839	Anas platyrhynchos	12914
taxid:299123	Lonchura striata domestica	12903
taxid:176946	Python bivittatus	12901
taxid:30464	Nothoprocta perdicaria	12842
taxid:8884	Oxyura jamaicensis	12835
taxid:2857394	Ammospiza nelsoni	12830
taxid:9135	Serinus canaria	12829
taxid:2587831	Terrapene carolina triunguis	12828
taxid:118200	Dryobates pubescens	12824
taxid:321398	Lepidothrix coronata	12810
taxid:103944	Protobothrops mucrosquamatus	12808
taxid:43150	Hirundo rustica	12748
taxid:44398	Melospiza georgiana	12736
taxid:649802	Pipra filicauda	12729
taxid:30410	Lagopus leucura	12725
taxid:415028	Corapipo altera	12722
taxid:198806	Calidris pugnax	12702
taxid:48891	Poecile atricapillus	12699
taxid:9157	Parus major	12696
taxid:128390	Nipponia nippon	12688
taxid:114329	Neopelma chrysocephalum	12667
taxid:33616	Gymnogyps californianus	12617
taxid:8895	Apus apus	12612
taxid:1094192	Motacilla alba alba	12582
taxid:7888	Protopterus annectens	12546
taxid:8502	Crocodylus porosus	12512
taxid:164674	Empidonax traillii	12510
taxid:9244	Calypte anna	12498
taxid:30331	Bufo gargarizans	12443
taxid:175006	Malurus melanocephalus	12436
taxid:9002	Centrocercus urophasianus	12427
taxid:59894	Ficedula albicollis	12419
taxid:8932	Columba livia	12412
taxid:1002788	Indicator indicator	12411
taxid:125878	Nanorana parkeri	12309
taxid:9233	Aptenodytes forsteri	12306
taxid:50402	Charadrius vociferus	12256
taxid:85066	Corvus brachyrhynchos	12245
taxid:932674	Corvus cornix cornix	12217
taxid:94835	Gavialis gangeticus	12196
taxid:441894	Struthio camelus australis	12082
taxid:68294	Corvus kubaryi	12061
taxid:8897	Chaetura pelagica	12058
taxid:48883	Geospiza fortis	11996
taxid:202946	Apteryx mantelli mantelli	11930
taxid:156563	Cyanistes caeruleus	11913
taxid:328815	Manacus vitellinus	11891
taxid:188379	Egretta garzetta	11829
taxid:9238	Pygoscelis adeliae	11772
taxid:194338	Athene cunicularia	11760
taxid:9103	Meleagris gallopavo	11712
taxid:386614	Amblyraja radiata	11550
taxid:44394	Zonotrichia albicollis	11545
taxid:94827	Tinamus guttatus	11296
taxid:30419	Opisthocomus hoazin	11269
taxid:35019	Thamnophis sirtalis	11041
taxid:7955	Danio rerio	10373
taxid:176057	Nestor notabilis	10254
taxid:84645	Labeo rohita	10224
taxid:57068	Acanthisitta chloris	10203
taxid:75352	Megalobrama amblycephala	10152
taxid:42514	Pygocentrus nattereri	10142
taxid:42526	Colossoma macropomum	10108
taxid:369639	Onychostoma macrolepis	10105
taxid:188344	Leptosomus discolor	10090
taxid:7994	Astyanax mexicanus	10069
taxid:100784	Balearica regulorum gibbericeps	10068
taxid:8005	Electrophorus electricus	10043
taxid:97097	Phaethon lepturus	10033
taxid:54380	Cariama cristata	10020
taxid:7959	Ctenopharyngodon idella	10016
taxid:1142201	Danio aesculapii	10000
taxid:54374	Mesitornis unicolor	9999
taxid:29144	Chanos chanos	9994
taxid:992332	Triplophysa rosa	9992
taxid:175836	Buceros rhinoceros silvestris	9964
taxid:1606681	Puntigrus tetrazona	9953
taxid:121530	Tauraco erythrolophus	9921
taxid:310915	Pangasianodon hypophthalmus	9905
taxid:1582913	Triplophysa dalaica	9900
taxid:7998	Ictalurus punctatus	9869
taxid:13013	Clarias gariepinus	9846
taxid:337641	Hemibagrus wyckioides	9842
taxid:90988	Pimephales promelas	9830
taxid:75329	Misgurnus anguillicaudatus	9816
taxid:1234273	Tachysurus fulvidraco	9794
taxid:8010	Esox lucius	9781
taxid:36300	Pelecanus crispus	9764
taxid:30455	Fulmarus glacialis	9756
taxid:175797	Silurus meridionalis	9729
taxid:34773	Alosa sapidissima	9719
taxid:66913	Ictalurus furcatus	9696
taxid:3034132	Rhinichthys klamathensis goyatoka	9680
taxid:187382	Chlamydotis macqueenii	9637
taxid:240206	Pterocles gutturalis	9614
taxid:586833	Myripristis murdjan	9601
taxid:941984	Toxotes jaculatrix	9598
taxid:13489	Dicentrarchus labrax	9595
taxid:293821	Epinephelus fuscoguttatus	9589
taxid:8236	Thunnus albacares	9586
taxid:75038	Scatophagus argus	9583
taxid:8240	Thunnus maccoyii	9572
taxid:8245	Xiphias gladius	9565
taxid:8177	Acanthopagrus latus	9554
taxid:8969	Haliaeetus albicilla	9548
taxid:2871759	Seriola aureovittata	9544
